TICKER,FECHA,APERTURA,MAXIMO,MINIMO,ULTIMO,VOLUMEN;;;;;;
ENDESA;02/01/2007;6,333;6,783;6,333;6,573;5067563
ENDESA;03/01/2007;6,563;6,593;6,253;6,403;10536790
ENDESA;04/01/2007;6,303;6,553;6,233;6,553;5582871
ENDESA;05/01/2007;6,403;6,503;6,253;6,303;12712070
ENDESA;08/01/2007;6,253;6,423;6,213;6,213;29135840
ENDESA;09/01/2007;6,453;6,473;6,173;6,443;18576580
ENDESA;10/01/2007;6,473;7,593;6,313;7,483;17830290
ENDESA;11/01/2007;7,403;8,233;7,353;8,133;7078135
ENDESA;12/01/2007;7,973;8,083;7,603;7,793;4260973
ENDESA;15/01/2007;7,793;7,893;7,753;7,753;21500990
ENDESA;16/01/2007;7,753;9,163;7,513;8,353;10391240
ENDESA;17/01/2007;8,403;8,783;8,403;8,553;7987492
ENDESA;18/01/2007;8,753;8,943;8,493;8,903;12970360
ENDESA;19/01/2007;8,753;8,873;8,353;8,873;38210390
ENDESA;22/01/2007;8,803;9,063;8,723;8,993;6364978
ENDESA;23/01/2007;9,003;9,453;8,953;9,383;16658570
ENDESA;24/01/2007;9,503;9,753;9,443;9,583;17720500
ENDESA;25/01/2007;9,873;10,653;9,873;10,003;13966970
ENDESA;26/01/2007;10,253;10,303;9,523;9,693;8865316
ENDESA;29/01/2007;9,553;10,003;9,103;10,003;10997540
ENDESA;30/01/2007;10,053;10,053;9,543;9,743;18695940
ENDESA;31/01/2007;9,603;9,763;9,433;9,573;9000969
ENDESA;01/02/2007;9,753;9,753;9,173;9,413;10789459
ENDESA;02/02/2007;9,013;10,073;8,853;10,043;16401170
ENDESA;05/02/2007;9,103;9,223;8,873;9,103;35871660
ENDESA;06/02/2007;9,043;9,053;8,853;8,853;19979490
ENDESA;07/02/2007;9,103;9,243;8,963;8,993;17000710
ENDESA;08/02/2007;9,053;9,143;8,953;9,013;10426860
ENDESA;09/02/2007;9,103;9,143;9,013;9,013;22074830
ENDESA;12/02/2007;8,963;9,093;8,963;9,033;6361089
ENDESA;13/02/2007;9,093;9,153;9,043;9,123;6791425
ENDESA;14/02/2007;9,133;9,253;9,123;9,153;7563585
ENDESA;15/02/2007;9,113;9,173;9,103;9,123;5784459
ENDESA;16/02/2007;9,193;9,233;9,103;9,153;17864380
ENDESA;19/02/2007;9,153;9,243;9,133;9,223;3127143
ENDESA;20/02/2007;9,203;9,223;9,183;9,183;11105130
ENDESA;21/02/2007;9,253;9,253;9,153;9,173;7194589
ENDESA;22/02/2007;9,193;9,293;9,193;9,253;6216061
ENDESA;23/02/2007;9,253;9,333;9,243;9,323;9580517
ENDESA;26/02/2007;9,303;9,493;9,303;9,463;6292442
ENDESA;27/02/2007;9,403;9,493;9,123;9,123;30168280
ENDESA;28/02/2007;9,003;9,533;8,913;9,453;136000000
ENDESA;01/03/2007;9,743;9,933;9,193;9,783;117181800
ENDESA;02/03/2007;9,903;10,253;9,403;9,503;93996760
ENDESA;05/03/2007;9,403;9,493;8,613;8,853;38831640
ENDESA;06/03/2007;8,983;9,093;8,583;8,673;25603310
ENDESA;07/03/2007;9,183;9,703;9,153;9,513;35670040
ENDESA;08/03/2007;9,533;9,683;9,503;9,623;22428680
ENDESA;09/03/2007;9,573;9,753;9,573;9,703;8070410
ENDESA;12/03/2007;9,613;9,943;9,613;9,853;46667950
ENDESA;13/03/2007;9,513;9,843;9,513;9,653;14940780
ENDESA;14/03/2007;9,523;9,803;9,463;9,553;14265830
ENDESA;15/03/2007;9,603;9,763;9,533;9,763;6001293
ENDESA;16/03/2007;9,603;9,753;9,313;9,313;30487310
ENDESA;19/03/2007;9,653;9,703;9,543;9,573;11383610
ENDESA;20/03/2007;9,613;9,683;9,433;9,653;5850032
ENDESA;21/03/2007;9,583;9,683;9,553;9,653;5347786
ENDESA;22/03/2007;9,693;9,713;9,513;9,653;9100729
ENDESA;23/03/2007;-28,997;9,713;9,513;9,653;3949
ENDESA;26/03/2007;12,003;12,003;11,033;11,063;26512060
ENDESA;27/03/2007;11,073;11,273;11,063;11,243;16977890
ENDESA;28/03/2007;11,073;11,143;10,963;11,133;12680720
ENDESA;29/03/2007;11,023;11,553;11,023;11,553;18830460
ENDESA;30/03/2007;11,363;11,553;11,153;11,483;22285890
ENDESA;02/04/2007;11,263;11,483;11,153;11,443;23793780
ENDESA;03/04/2007;11,363;11,433;11,003;11,003;37509320
ENDESA;04/04/2007;11,203;11,243;11,053;11,193;8516835
ENDESA;05/04/2007;11,163;11,213;11,113;11,163;4999509
ENDESA;10/04/2007;11,013;11,303;11,013;11,253;6358016
ENDESA;11/04/2007;11,273;11,503;11,253;11,503;7253212
ENDESA;12/04/2007;11,413;11,493;11,303;11,453;6185119
ENDESA;13/04/2007;11,353;11,583;11,353;11,583;5016090
ENDESA;16/04/2007;11,503;11,643;11,443;11,643;11107400
ENDESA;17/04/2007;11,543;11,663;11,433;11,493;6071938
ENDESA;18/04/2007;11,403;11,423;11,113;11,213;7051769
ENDESA;19/04/2007;11,153;11,333;11,003;11,333;4504815
ENDESA;20/04/2007;11,273;11,363;11,203;11,353;4310152
ENDESA;23/04/2007;11,273;11,353;11,183;11,223;3443053
ENDESA;24/04/2007;11,193;11,253;11,103;11,153;7748916
ENDESA;25/04/2007;11,143;11,233;11,023;11,233;3866449
ENDESA;26/04/2007;11,253;11,253;11,103;11,173;5228837
ENDESA;27/04/2007;11,193;11,303;11,083;11,303;4175321
ENDESA;30/04/2007;11,333;11,333;11,163;11,183;3261677
ENDESA;02/05/2007;11,173;11,353;11,173;11,323;2910141
ENDESA;03/05/2007;11,373;11,373;11,203;11,333;5094886
ENDESA;04/05/2007;11,243;11,343;11,243;11,343;33663480
ENDESA;07/05/2007;11,273;11,313;11,193;11,263;2086849
ENDESA;08/05/2007;11,213;11,303;11,173;11,273;11789400
ENDESA;09/05/2007;11,223;11,263;11,123;11,123;1885408
ENDESA;10/05/2007;11,133;11,183;11,023;11,023;3300415
ENDESA;11/05/2007;11,033;11,203;10,953;11,203;9629771
ENDESA;14/05/2007;11,103;11,163;11,033;11,043;1852900
ENDESA;15/05/2007;11,023;11,103;10,983;11,103;2761100
ENDESA;16/05/2007;11,013;11,133;11,003;11,133;2492909
ENDESA;17/05/2007;11,033;11,123;11,033;11,123;5755608
ENDESA;18/05/2007;11,123;11,193;11,023;11,193;3087891
ENDESA;21/05/2007;11,173;11,183;11,063;11,103;2438881
ENDESA;22/05/2007;11,103;11,123;11,053;11,063;1573109
ENDESA;23/05/2007;11,063;11,173;11,053;11,173;2247188
ENDESA;24/05/2007;11,073;11,143;11,023;11,023;6607164
ENDESA;25/05/2007;11,033;11,173;10,973;11,053;3412909
ENDESA;28/05/2007;11,043;11,103;11,043;11,043;304902
ENDESA;29/05/2007;11,053;11,083;11,023;11,043;3213152
ENDESA;30/05/2007;11,023;11,143;11,003;11,033;5769828
ENDESA;31/05/2007;11,093;11,143;11,013;11,013;6615824
ENDESA;01/06/2007;11,063;11,103;11,033;11,093;161094500
ENDESA;04/06/2007;11,043;11,073;11,023;11,053;2577492
ENDESA;05/06/2007;11,043;11,093;11,023;11,023;2912116
ENDESA;06/06/2007;11,033;11,053;10,913;10,913;5408570
ENDESA;07/06/2007;11,023;11,073;10,893;10,893;114567300
ENDESA;08/06/2007;10,863;11,033;10,853;10,923;5210062
ENDESA;11/06/2007;10,953;11,013;10,903;11,013;8011521
ENDESA;12/06/2007;10,963;11,033;10,953;10,953;16275570
ENDESA;13/06/2007;10,943;11,073;10,933;11,013;7607364
ENDESA;14/06/2007;11,003;11,123;10,983;11,113;6906154
ENDESA;15/06/2007;11,063;11,133;10,953;10,973;18844850
ENDESA;18/06/2007;10,973;11,103;10,963;10,993;10700960
